"GEO_ID","NAME","H1_001N","H1_001NA","H1_002N","H1_002NA","H1_003N","H1_003NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Occupied","Annotation of  !!Total:!!Occupied"," !!Total:!!Vacant","Annotation of  !!Total:!!Vacant",
"0400000US01","Alabama","2288330","null","2011947","null","276383","null",
"0400000US02","Alaska","326200","null","269148","null","57052","null",
"0400000US04","Arizona","3082000","null","2705878","null","376122","null",
"0400000US05","Arkansas","1365265","null","1199395","null","165870","null",
"0400000US06","California","14392140","null","13475623","null","916517","null",
"0400000US08","Colorado","2491404","null","2257815","null","233589","null",
"0400000US09","Connecticut","1530197","null","1418069","null","112128","null",
"0400000US10","Delaware","448735","null","386375","null","62360","null",
"0400000US11","District of Columbia","350364","null","312448","null","37916","null",
"0400000US12","Florida","9865350","null","8529067","null","1336283","null",
"0400000US13","Georgia","4410956","null","4020808","null","390148","null",
"0400000US15","Hawaii","561066","null","490267","null","70799","null",
"0400000US16","Idaho","751859","null","676206","null","75653","null",
"0400000US17","Illinois","5426429","null","4998395","null","428034","null",
"0400000US18","Indiana","2923175","null","2667542","null","255633","null",
"0400000US19","Iowa","1412789","null","1288560","null","124229","null",
"0400000US20","Kansas","1275689","null","1151360","null","124329","null",
"0400000US21","Kentucky","1994323","null","1797937","null","196386","null",
"0400000US22","Louisiana","2073200","null","1831610","null","241590","null",
"0400000US23","Maine","739072","null","582437","null","156635","null",
"0400000US24","Maryland","2530844","null","2321208","null","209636","null",
"0400000US25","Massachusetts","2998537","null","2749225","null","249312","null",
"0400000US26","Michigan","4570173","null","4041760","null","528413","null",
"0400000US27","Minnesota","2485558","null","2253990","null","231568","null",
"0400000US28","Mississippi","1319945","null","1158193","null","161752","null",
"0400000US29","Missouri","2786621","null","2479146","null","307475","null",
"0400000US30","Montana","514803","null","447812","null","66991","null",
"0400000US31","Nebraska","844278","null","773312","null","70966","null",
"0400000US32","Nevada","1281018","null","1177649","null","103369","null",
"0400000US33","New Hampshire","638795","null","556357","null","82438","null",
"0400000US34","New Jersey","3761229","null","3426102","null","335127","null",
"0400000US35","New Mexico","940859","null","829514","null","111345","null",
"0400000US36","New York","8488066","null","7715172","null","772894","null",
"0400000US37","North Carolina","4708710","null","4160856","null","547854","null",
"0400000US38","North Dakota","370642","null","322553","null","48089","null",
"0400000US39","Ohio","5242524","null","4808773","null","433751","null",
"0400000US40","Oklahoma","1746807","null","1535830","null","210977","null",
"0400000US41","Oregon","1813747","null","1671983","null","141764","null",
"0400000US42","Pennsylvania","5742828","null","5210598","null","532230","null",
"0400000US44","Rhode Island","483474","null","441274","null","42200","null",
"0400000US45","South Carolina","2344963","null","2048912","null","296051","null",
"0400000US46","South Dakota","393375","null","350560","null","42815","null",
"0400000US47","Tennessee","3031605","null","2742947","null","288658","null",
"0400000US48","Texas","11589324","null","10491147","null","1098177","null",
"0400000US49","Utah","1151414","null","1057252","null","94162","null",
"0400000US50","Vermont","334318","null","271890","null","62428","null",
"0400000US51","Virginia","3618247","null","3321218","null","297029","null",
"0400000US53","Washington","3202241","null","2974692","null","227549","null",
"0400000US54","West Virginia","855635","null","743442","null","112193","null",
"0400000US55","Wisconsin","2727726","null","2428361","null","299365","null",
"0400000US56","Wyoming","271887","null","234965","null","36922","null",
"0400000US72","Puerto Rico","1598159","null","1340534","null","257625","null",
